TransactionID,UserID,CourseID,TransactionDate,Amount,PaymentMethod,TeacherID,UserName,Gender,Email,TeacherName,TAge,TGender,Expertise,YearsOfExperience,TeacherRating,CourseName,CourseCategory,CourseType,CourseLevel,CoursePrice,CourseDuration,CourseRating,AgeGroup
TT00001,U00003,CR00016,2025-10-25,0.0,PayPal,TC00040,morrisonamanda,Female,ganderson@yahoo.com,Kimberly Miller,49,Male,Cybersecurity,24,4.58,Digital Marketing,Marketing,Free,Intermediate,0.0,42.68,4.72,33+
TT00002,U00003,CR00037,2025-01-13,0.0,PayPal,TC00040,morrisonamanda,Female,ganderson@yahoo.com,Kimberly Miller,49,Male,Cybersecurity,24,4.58,Scrum Essentials,Project Management,Free,Intermediate,0.0,33.93,3.45,33+
TT00003,U00003,CR00019,2025-03-28,0.0,Bank Transfer,TC00040,morrisonamanda,Female,ganderson@yahoo.com,Kimberly Miller,49,Male,Cybersecurity,24,4.58,Content Marketing,Marketing,Free,Advanced,0.0,18.0,2.98,33+
TT00004,U00004,CR00048,2025-06-02,0.0,Bank Transfer,TC00040,fthornton,Female,christensencatherine@outlook.com,Kimberly Miller,49,Male,Cybersecurity,24,4.58,AI Ethics,Artificial Intelligence,Free,Beginner,0.0,42.7,3.64,23-27
TT00005,U00004,CR00060,2025-08-10,0.0,PayPal,TC00042,fthornton,Female,christensencatherine@outlook.com,Yolanda Levine,49,Female,Machine Learning,21,4.97,Content Creation,Digital Marketing,Free,Beginner,0.0,8.95,2.14,23-27
TT00006,U00004,CR00042,2025-10-30,0.0,Credit Card,TC00042,fthornton,Female,christensencatherine@outlook.com,Yolanda Levine,49,Female,Machine Learning,21,4.97,Investment Strategies,Finance,Free,Intermediate,0.0,34.83,4.1,23-27
TT00007,U00004,CR00017,2025-05-09,0.0,Bank Transfer,TC00042,fthornton,Female,christensencatherine@outlook.com,Yolanda Levine,49,Female,Machine Learning,21,4.97,SEO Mastery,Marketing,Free,Advanced,0.0,29.37,4.79,23-27
TT00008,U00004,CR00025,2025-05-07,299.57,Credit Card,TC00040,fthornton,Female,christensencatherine@outlook.com,Kimberly Miller,49,Male,Cybersecurity,24,4.58,Statistical Analysis,Data Science,Paid,Beginner,299.57,48.32,3.74,23-27
TT00009,U00013,CR00003,2025-10-05,0.0,PayPal,TC00040,cherrykathleen,Female,michelewatkins@outlook.com,Kimberly Miller,49,Male,Cybersecurity,24,4.58,C++ for Beginners,Programming,Free,Beginner,0.0,19.53,3.85,33+
TT00010,U00013,CR00032,2025-09-29,0.0,Bank Transfer,TC00040,cherrykathleen,Female,michelewatkins@outlook.com,Kimberly Miller,49,Male,Cybersecurity,24,4.58,Ethical Hacking,Cybersecurity,Free,Advanced,0.0,16.74,2.38,33+
TT00011,U00013,CR00060,2025-11-26,0.0,PayPal,TC00042,cherrykathleen,Female,michelewatkins@outlook.com,Yolanda Levine,49,Female,Machine Learning,21,4.97,Content Creation,Digital Marketing,Free,Beginner,0.0,8.95,2.14,33+
TT00012,U00013,CR00030,2025-01-20,0.0,Bank Transfer,TC00042,cherrykathleen,Female,michelewatkins@outlook.com,Yolanda Levine,49,Female,Machine Learning,21,4.97,Reinforcement Learning,Machine Learning,Free,Intermediate,0.0,38.49,1.73,33+
TT00013,U00013,CR00056,2025-08-28,212.39,Bank Transfer,TC00042,cherrykathleen,Female,michelewatkins@outlook.com,Yolanda Levine,49,Female,Machine Learning,21,4.97,Google Ads Mastery,Digital Marketing,Paid,Advanced,212.39,22.89,3.15,33+
TT00014,U00015,CR00045,2025-04-27,0.0,PayPal,TC00040,tbaker,Female,kelly33@yahoo.com,Kimberly Miller,49,Male,Cybersecurity,24,4.58,Financial Modeling,Finance,Free,Advanced,0.0,6.36,1.59,23-27
